[38392:40580:0901/110336.162:WARNING:chrome\browser\signin\account_consistency_mode_manager.cc:74] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[38392:40580:0901/121915.237:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/121921.855:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/121921.858:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/121932.549:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/121932.549:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/121939.004:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/121939.004:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/121948.392:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/121948.392:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/121954.112:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/121954.142:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/122014.441:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/122014.446:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/122042.252:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/122042.253:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/122052.509:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
[38392:40580:0901/122052.510:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 pending PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/122057.988:INFO:CONSOLE:24] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeConsoleView (24)
[38392:40580:0901/122057.988:INFO:CONSOLE:12] "[MCP] 7886662e-9446-48f5-b6fa-257c9a4d0b42 completed PowerShell [object Object]", source: http://kamin.localhost/claudeBridgeChat (12)
